year_,month_,sessions,orders,conversion_rate_pct
2012,3,1879,60,3.19319
2012,4,3734,99,2.65131
2012,5,3736,108,2.89079
2012,6,3963,140,3.53268
2012,7,4249,169,3.97741
2012,8,6097,228,3.73954
2012,9,6546,287,4.38436
2012,10,8183,371,4.53379
2012,11,14011,618,4.41082
2012,12,10072,506,5.02383
2013,1,6401,391,6.10842
2013,2,7168,497,6.93359
2013,3,6264,385,6.14623
2013,4,7971,553,6.93765
2013,5,8449,571,6.75820
2013,6,8325,594,7.13514
2013,7,8903,603,6.77300
2013,8,9180,608,6.62309
2013,9,9580,629,6.56576
2013,10,10773,708,6.57199
2013,11,14032,861,6.13597
2013,12,15735,1047,6.65396
2014,1,14825,983,6.63069
2014,2,16285,1021,6.26957
2014,3,15669,1065,6.79686
2014,4,17353,1241,7.15150
2014,5,18061,1368,7.57433
2014,6,17715,1239,6.99407
2014,7,19038,1287,6.76016
2014,8,18590,1324,7.12211
2014,9,19513,1424,7.29770
2014,10,21526,1609,7.47468
2014,11,25125,1985,7.90050
2014,12,29722,2314,7.78548
2015,1,25337,2099,8.28433
2015,2,23778,2067,8.69291
2015,3,15083,1254,8.31400
