year_,month_,sessions,orders,revenue_per_order,revenue_per_session
2012,3,1879,60,49.99,1.60
2012,4,3734,99,49.99,1.33
2012,5,3736,108,49.99,1.45
2012,6,3963,140,49.99,1.77
2012,7,4249,169,49.99,1.99
2012,8,6097,228,49.99,1.87
2012,9,6546,287,49.99,2.19
2012,10,8183,371,49.99,2.27
2012,11,14011,618,49.99,2.20
2012,12,10072,506,49.99,2.51
2013,1,6401,391,51.19,3.13
2013,2,7168,497,53.25,3.69
2013,3,6264,385,51.68,3.18
2013,4,7971,553,51.69,3.59
2013,5,8449,571,51.43,3.48
2013,6,8325,594,51.51,3.67
2013,7,8903,603,51.57,3.49
2013,8,9180,608,51.60,3.42
2013,9,9580,629,52.02,3.42
2013,10,10773,708,54.02,3.55
2013,11,14032,861,54.16,3.32
2013,12,15735,1047,55.65,3.70
2014,1,14825,983,57.61,3.82
2014,2,16285,1021,64.67,4.05
2014,3,15669,1065,63.95,4.35
2014,4,17353,1241,63.44,4.54
2014,5,18061,1368,65.01,4.92
2014,6,17715,1239,64.61,4.52
2014,7,19038,1287,64.76,4.38
2014,8,18590,1324,63.94,4.55
2014,9,19513,1424,64.77,4.73
2014,10,21526,1609,64.58,4.83
2014,11,25125,1985,64.57,5.10
2014,12,29722,2314,62.59,4.87
2015,1,25337,2099,63.03,5.22
2015,2,23778,2067,62.47,5.43
2015,3,15083,1254,62.96,5.23
