year_,month_,items_per_order,average_order_value
2012,3,1.000,49.99
2012,4,1.000,49.99
2012,5,1.000,49.99
2012,6,1.000,49.99
2012,7,1.000,49.99
2012,8,1.000,49.99
2012,9,1.000,49.99
2012,10,1.000,49.99
2012,11,1.000,49.99
2012,12,1.000,49.99
2013,1,1.000,51.20
2013,2,1.000,53.24
2013,3,1.000,51.68
2013,4,1.000,51.69
2013,5,1.000,51.43
2013,6,1.000,51.51
2013,7,1.000,51.56
2013,8,1.000,51.60
2013,9,1.010,52.02
2013,10,1.042,54.02
2013,11,1.043,54.16
2013,12,1.089,55.65
2014,1,1.131,57.61
2014,2,1.320,64.65
2014,3,1.339,63.97
2014,4,1.335,63.44
2014,5,1.369,65.01
2014,6,1.352,64.61
2014,7,1.357,64.77
2014,8,1.352,63.94
2014,9,1.370,64.77
2014,10,1.369,64.58
2014,11,1.361,64.57
2014,12,1.339,62.59
2015,1,1.357,63.02
2015,2,1.309,62.48
2015,3,1.350,62.96
