product_name,order_month,items_sold,items_refunded,refund_rate_pct
"The Birthday Sugar Panda",2013-12,139,10,7.19
"The Birthday Sugar Panda",2014-01,200,13,6.50
"The Birthday Sugar Panda",2014-02,211,14,6.64
"The Birthday Sugar Panda",2014-03,244,17,6.97
"The Birthday Sugar Panda",2014-04,267,18,6.74
"The Birthday Sugar Panda",2014-05,299,17,5.69
"The Birthday Sugar Panda",2014-06,288,16,5.56
"The Birthday Sugar Panda",2014-07,276,11,3.99
"The Birthday Sugar Panda",2014-08,294,20,6.80
"The Birthday Sugar Panda",2014-09,317,21,6.62
"The Birthday Sugar Panda",2014-10,368,17,4.62
"The Birthday Sugar Panda",2014-11,425,23,5.41
"The Birthday Sugar Panda",2014-12,539,35,6.49
"The Birthday Sugar Panda",2015-01,450,30,6.67
"The Birthday Sugar Panda",2015-02,405,20,4.94
"The Birthday Sugar Panda",2015-03,263,19,7.22
"The Forever Love Bear",2013-02,162,2,1.23
"The Forever Love Bear",2013-10,135,2,1.48
"The Forever Love Bear",2013-11,174,4,2.30
"The Forever Love Bear",2013-12,183,4,2.19
"The Forever Love Bear",2014-01,183,4,2.19
"The Forever Love Bear",2014-02,351,6,1.71
"The Forever Love Bear",2014-03,193,3,1.55
"The Forever Love Bear",2014-04,214,4,1.87
"The Forever Love Bear",2014-05,246,4,1.63
"The Forever Love Bear",2014-06,245,9,3.67
"The Forever Love Bear",2014-07,244,9,3.69
"The Forever Love Bear",2014-08,237,4,1.69
"The Forever Love Bear",2014-09,251,8,3.19
"The Forever Love Bear",2014-10,284,5,1.76
"The Forever Love Bear",2014-11,377,8,2.12
"The Forever Love Bear",2014-12,387,9,2.33
"The Forever Love Bear",2015-01,394,10,2.54
"The Forever Love Bear",2015-02,644,11,1.71
"The Forever Love Bear",2015-03,223,6,2.69
"The Hudson River Mini bear",2014-02,202,2,0.99
"The Hudson River Mini bear",2014-03,205,1,0.49
"The Hudson River Mini bear",2014-04,259,4,1.54
"The Hudson River Mini bear",2014-05,298,2,0.67
"The Hudson River Mini bear",2014-06,249,6,2.41
"The Hudson River Mini bear",2014-07,264,4,1.52
"The Hudson River Mini bear",2014-08,303,2,0.66
"The Hudson River Mini bear",2014-09,327,4,1.22
"The Hudson River Mini bear",2014-10,377,8,2.12
"The Hudson River Mini bear",2014-11,449,6,1.34
"The Hudson River Mini bear",2014-12,588,8,1.36
"The Hudson River Mini bear",2015-01,610,7,1.15
"The Hudson River Mini bear",2015-02,544,8,1.47
"The Hudson River Mini bear",2015-03,343,2,0.58
"The Original Mr. Fuzzy",2012-05,108,4,3.70
"The Original Mr. Fuzzy",2012-06,140,8,5.71
"The Original Mr. Fuzzy",2012-07,169,14,8.28
"The Original Mr. Fuzzy",2012-08,228,17,7.46
"The Original Mr. Fuzzy",2012-09,287,26,9.06
"The Original Mr. Fuzzy",2012-10,371,27,7.28
"The Original Mr. Fuzzy",2012-11,618,46,7.44
"The Original Mr. Fuzzy",2012-12,506,30,5.93
"The Original Mr. Fuzzy",2013-01,343,17,4.96
"The Original Mr. Fuzzy",2013-02,336,24,7.14
"The Original Mr. Fuzzy",2013-03,320,18,5.63
"The Original Mr. Fuzzy",2013-04,459,19,4.14
"The Original Mr. Fuzzy",2013-05,489,31,6.34
"The Original Mr. Fuzzy",2013-06,503,39,7.75
"The Original Mr. Fuzzy",2013-07,509,37,7.27
"The Original Mr. Fuzzy",2013-08,510,28,5.49
"The Original Mr. Fuzzy",2013-09,537,23,4.28
"The Original Mr. Fuzzy",2013-10,603,17,2.82
"The Original Mr. Fuzzy",2013-11,724,25,3.45
"The Original Mr. Fuzzy",2013-12,818,19,2.32
"The Original Mr. Fuzzy",2014-01,728,31,4.26
"The Original Mr. Fuzzy",2014-02,584,23,3.94
"The Original Mr. Fuzzy",2014-03,785,24,3.06
"The Original Mr. Fuzzy",2014-04,917,32,3.49
"The Original Mr. Fuzzy",2014-05,1030,30,2.91
"The Original Mr. Fuzzy",2014-06,893,51,5.71
"The Original Mr. Fuzzy",2014-07,961,42,4.37
"The Original Mr. Fuzzy",2014-08,958,132,13.78
"The Original Mr. Fuzzy",2014-09,1056,140,13.26
"The Original Mr. Fuzzy",2014-10,1173,29,2.47
"The Original Mr. Fuzzy",2014-11,1451,50,3.45
"The Original Mr. Fuzzy",2014-12,1584,59,3.72
"The Original Mr. Fuzzy",2015-01,1392,52,3.74
"The Original Mr. Fuzzy",2015-02,1113,39,3.50
"The Original Mr. Fuzzy",2015-03,864,28,3.24
