refund_month,refunds_issued,avg_days_to_refund
2012-04,5,7.8
2012-05,5,9.8
2012-06,5,5.2
2012-07,13,8.8
2012-08,18,10.1
2012-09,21,8.2
2012-10,24,8.8
2012-11,40,9.1
2012-12,38,8.9
2013-01,20,9.9
2013-02,21,9.3
2013-03,19,8.8
2013-04,22,9.7
2013-05,28,8.6
2013-06,29,8.8
2013-07,43,8.7
2013-08,33,9.8
2013-09,24,9.5
2013-10,17,9.9
2013-11,15,7.1
2013-12,34,8.4
2014-01,18,9.7
2014-02,29,9.1
2014-03,26,8.8
2014-04,34,9.0
2014-05,21,9.8
2014-06,43,8.5
2014-07,51,9.1
2014-08,65,7.8
2014-09,213,9.8
2014-10,26,9.0
2014-11,31,9.5
2014-12,75,7.7
2015-01,50,9.3
2015-02,42,9.0
2015-03,39,9.4
