city,listings,mean_usd,p25_usd,median_usd,p75_usd,mean_to_median
"New York",36984,142.95,60.00,99.00,151.00,1.44
Paris,64628,136.45,71.11,96.42,144.64,1.42
Sydney,33630,171.86,57.28,92.89,169.53,1.85
Rome,27641,126.71,54.24,78.34,119.32,1.62
"Cape Town",19086,159.72,43.17,70.99,146.10,2.25
"Rio de Janeiro",26608,133.14,28.14,50.19,98.58,2.65
"Hong Kong",7087,96.19,31.97,49.76,90.24,1.93
Bangkok,19360,68.75,23.16,36.39,62.85,1.89
Istanbul,24517,73.64,20.74,34.84,62.08,2.11
"Mexico City",20058,55.36,18.88,31.97,54.12,1.73
