city,pct_entire,entire_sleeps,entire_median,private_sleeps,private_median,premium_nightly,premium_per_person
Sydney,60.5,4.2,136.24,1.9,52.64,2.59,1.33
"Hong Kong",36.5,3.6,88.95,2.3,38.67,2.30,1.29
"New York",52.4,3.6,140.00,1.9,60.00,2.33,1.21
"Cape Town",74.1,4.4,85.50,2.4,41.31,2.07,1.19
"Mexico City",52.6,3.9,45.74,2.0,19.26,2.37,1.12
Istanbul,50.7,4.1,48.39,2.2,22.54,2.15,1.10
"Rio de Janeiro",72.5,4.8,62.74,2.4,28.68,2.19,1.04
Paris,85.7,3.2,98.83,2.0,63.88,1.55,1.00
Bangkok,54.9,3.4,39.43,2.8,33.08,1.19,0.93
Rome,62.4,4.5,92.81,2.4,59.06,1.57,0.87
