city,pct_superhost,superhost_ppp,regular_ppp,price_ratio,superhost_rating,regular_rating
Paris,12.6,42.19,36.16,1.17,96.9,92.3
"Mexico City",31.9,12.52,12.42,1.01,97.3,93.1
Sydney,12.1,36.77,36.77,1.00,97.4,92.4
"Cape Town",24.1,24.19,24.67,0.98,97.4,93.0
Rome,25.9,24.11,24.71,0.98,96.8,92.0
Istanbul,13.2,12.44,12.95,0.96,96.5,89.3
"New York",18.8,39.00,42.00,0.93,96.9,92.8
Bangkok,20.1,12.40,14.89,0.83,96.6,91.5
"Hong Kong",18.2,20.75,25.01,0.83,95.8,88.4
"Rio de Janeiro",17.1,11.35,15.68,0.72,97.3,93.7
