city,location,cleanliness,accuracy,communication,checkin,value_score
"New York",0.108,0.054,0.023,0.025,0.011,0.011
Paris,0.084,0.097,0.022,0,0.006,0.005
Sydney,0.078,0.073,0.053,0.042,0.034,-0.002
"Cape Town",0.075,0.063,0.05,0.025,0.032,-0.012
Rome,0.064,0.029,-0.008,-0.01,-0.003,-0.004
Bangkok,0.03,0.019,0.013,-0,0.006,-0.001
Istanbul,0.027,0.046,0.018,0.012,0.013,0.005
"Hong Kong",0.022,0.023,0.027,0.03,0.03,0.009
"Mexico City",0.007,0.016,-0.01,-0.018,-0.015,0.004
"Rio de Janeiro",0,0.01,-0.021,-0.008,-0.008,-0.045
