city,listings,pct_never_reviewed,unrev_pct_entire,rev_pct_entire,unrev_pct_superhost,rev_pct_superhost,unrev_min_nights,rev_min_nights
Istanbul,24519,52.4,40.2,62.2,3.3,24.0,4.9,4.0
"Hong Kong",7087,45.4,29.8,42.1,19.0,17.5,20.6,7.7
Bangkok,19361,40.9,44.1,62.3,6.6,29.4,13.6,8.6
"Rio de Janeiro",26615,37.4,68.7,74.7,5.2,24.2,6.3,3.8
Sydney,33630,29.8,51.2,64.5,2.2,16.4,7.4,5.8
"Cape Town",19086,28.1,57.6,80.6,7.7,30.5,5.8,3.8
"Mexico City",20065,26.8,35.5,58.8,8.9,40.3,7.9,3.3
"New York",37012,25.7,48.5,53.8,4.8,23.7,28.6,21.5
Paris,64690,23.9,81.4,86.9,3.2,15.5,6.7,5.4
Rome,27647,23.3,46.5,67.2,8.8,31.0,4.5,3.1
