city,join_year,new_hosts,cumulative_hosts,pct_of_host_base
Bangkok,2009,2,2,0.0
Bangkok,2010,32,34,0.4
Bangkok,2011,87,121,1.5
Bangkok,2012,152,273,3.3
Bangkok,2013,376,649,7.8
Bangkok,2014,706,1355,16.3
Bangkok,2015,1394,2749,33.0
Bangkok,2016,1379,4128,49.6
Bangkok,2017,1138,5266,63.2
Bangkok,2018,1229,6495,78.0
Bangkok,2019,1273,7768,93.3
Bangkok,2020,543,8311,99.8
Bangkok,2021,15,8326,100.0
"Cape Town",2008,1,1,0.0
"Cape Town",2009,21,22,0.2
"Cape Town",2010,59,81,0.7
"Cape Town",2011,116,197,1.8
"Cape Town",2012,273,470,4.2
"Cape Town",2013,539,1009,9.1
"Cape Town",2014,1171,2180,19.6
"Cape Town",2015,2105,4285,38.6
"Cape Town",2016,2353,6638,59.8
"Cape Town",2017,1489,8127,73.2
"Cape Town",2018,1161,9288,83.6
"Cape Town",2019,1209,10497,94.5
"Cape Town",2020,554,11051,99.5
"Cape Town",2021,58,11109,100.0
"Hong Kong",2009,1,1,0.0
"Hong Kong",2010,6,7,0.3
"Hong Kong",2011,39,46,2.2
"Hong Kong",2012,106,152,7.4
"Hong Kong",2013,129,281,13.7
"Hong Kong",2014,219,500,24.4
"Hong Kong",2015,326,826,40.4
"Hong Kong",2016,316,1142,55.8
"Hong Kong",2017,259,1401,68.5
"Hong Kong",2018,264,1665,81.4
"Hong Kong",2019,262,1927,94.2
"Hong Kong",2020,110,2037,99.6
"Hong Kong",2021,9,2046,100.0
Istanbul,2009,2,2,0.0
Istanbul,2010,44,46,0.3
Istanbul,2011,167,213,1.6
Istanbul,2012,432,645,4.8
Istanbul,2013,668,1313,9.7
Istanbul,2014,1032,2345,17.3
Istanbul,2015,1487,3832,28.3
Istanbul,2016,1408,5240,38.7
Istanbul,2017,967,6207,45.8
Istanbul,2018,1829,8036,59.3
Istanbul,2019,3222,11258,83.1
Istanbul,2020,2056,13314,98.2
Istanbul,2021,241,13555,100.0
"Mexico City",2009,7,7,0.1
"Mexico City",2010,32,39,0.3
"Mexico City",2011,112,151,1.3
"Mexico City",2012,306,457,4.0
"Mexico City",2013,367,824,7.2
"Mexico City",2014,859,1683,14.6
"Mexico City",2015,1570,3253,28.2
"Mexico City",2016,2167,5420,47.0
"Mexico City",2017,1847,7267,63.1
"Mexico City",2018,1674,8941,77.6
"Mexico City",2019,1644,10585,91.9
"Mexico City",2020,843,11428,99.2
"Mexico City",2021,93,11521,100.0
"New York",2008,12,12,0.0
"New York",2009,167,179,0.7
"New York",2010,540,719,2.7
"New York",2011,1503,2222,8.3
"New York",2012,2589,4811,18.0
"New York",2013,3237,8048,30.1
"New York",2014,4229,12277,45.9
"New York",2015,4369,16646,62.2
"New York",2016,3237,19883,74.3
"New York",2017,2045,21928,82.0
"New York",2018,1683,23611,88.3
"New York",2019,2048,25659,95.9
"New York",2020,1013,26672,99.7
"New York",2021,77,26749,100.0
Paris,2008,3,3,0.0
Paris,2009,56,59,0.1
Paris,2010,273,332,0.6
Paris,2011,1035,1367,2.6
Paris,2012,3604,4971,9.6
Paris,2013,6777,11748,22.6
Paris,2014,9582,21330,41.1
Paris,2015,10468,31798,61.2
Paris,2016,7320,39118,75.3
Paris,2017,3749,42867,82.6
Paris,2018,3041,45908,88.4
Paris,2019,3728,49636,95.6
Paris,2020,2195,51831,99.8
Paris,2021,92,51923,100.0
"Rio de Janeiro",2008,1,1,0.0
"Rio de Janeiro",2009,6,7,0.0
"Rio de Janeiro",2010,50,57,0.3
"Rio de Janeiro",2011,370,427,2.5
"Rio de Janeiro",2012,681,1108,6.4
"Rio de Janeiro",2013,1285,2393,13.8
"Rio de Janeiro",2014,2711,5104,29.5
"Rio de Janeiro",2015,2205,7309,42.2
"Rio de Janeiro",2016,4448,11757,67.9
"Rio de Janeiro",2017,1450,13207,76.3
"Rio de Janeiro",2018,1361,14568,84.2
"Rio de Janeiro",2019,1599,16167,93.4
"Rio de Janeiro",2020,1006,17173,99.2
"Rio de Janeiro",2021,131,17304,100.0
Rome,2008,9,9,0.1
Rome,2009,11,20,0.1
Rome,2010,106,126,0.9
Rome,2011,442,568,3.9
Rome,2012,890,1458,10.0
Rome,2013,1374,2832,19.4
Rome,2014,1999,4831,33.1
Rome,2015,2497,7328,50.3
Rome,2016,1915,9243,63.4
Rome,2017,1489,10732,73.6
Rome,2018,1468,12200,83.7
Rome,2019,1675,13875,95.2
Rome,2020,672,14547,99.8
Rome,2021,35,14582,100.0
Sydney,2009,20,20,0.1
Sydney,2010,98,118,0.5
Sydney,2011,494,612,2.5
Sydney,2012,1335,1947,7.8
Sydney,2013,2326,4273,17.1
Sydney,2014,3788,8061,32.3
Sydney,2015,5156,13217,53.0
Sydney,2016,4410,17627,70.7
Sydney,2017,2927,20554,82.4
Sydney,2018,2103,22657,90.8
Sydney,2019,1656,24313,97.5
Sydney,2020,615,24928,99.9
Sydney,2021,21,24949,100.0
